
Check                                  Passed Detail                                                                
-----                                  ------ ------                                                                
Docker CLI installed                     True Required for PostgreSQL Docker.                                       
Docker daemon running                    True Client:                                                               
Compose config valid                     True docker compose -f db/docker-compose.yml config                        
Init script LF only                      True db/init/00_run_sql_assets.sh                                          
Directory exists: sql                    True D:\git\TPC CommerceInsight_publish\sql                                
Directory exists: db/init                True D:\git\TPC CommerceInsight_publish\db\init                            
Directory exists: db/scripts             True D:\git\TPC CommerceInsight_publish\db\scripts                         
Directory exists: report/import_logs     True D:\git\TPC CommerceInsight_publish\report\import_logs                 
Directory exists: report/explain_plans   True D:\git\TPC CommerceInsight_publish\report\explain_plans               
Directory exists: report/performance     True D:\git\TPC CommerceInsight_publish\report\performance                 
Directory exists: test                   True D:\git\TPC CommerceInsight_publish\test                               
SQL assets present                       True Expected A's V*.sql files under sql/; missing is OK before A delivery.



