operation,ok,latencyMs,statusCode,error
new-order,True,77.217,200,
new-order,True,88.234,200,
new-order,True,99.124,200,
new-order,True,112.713,200,
new-order,True,34.024,200,
new-order,True,57.458,200,
new-order,True,33.326,200,
new-order,True,35.022,200,
new-order,True,67.086,200,
new-order,True,31.238,200,
new-order,True,52.114,200,
new-order,True,40.332,200,
new-order,True,20.622,200,
new-order,True,51.69,200,
new-order,True,50.366,200,
new-order,True,30.046,200,
new-order,True,50.823,200,
new-order,True,30.492,200,
new-order,True,30.412,200,
new-order,True,58.897,200,
