operation,ok,latencyMs,statusCode,error
new-order,True,152.929,200,
new-order,True,180.558,200,
new-order,True,203.878,200,
new-order,True,224.163,200,
new-order,True,89.923,200,
new-order,True,91.428,200,
new-order,True,90.233,200,
new-order,True,91.419,200,
new-order,True,96.702,200,
new-order,True,90.375,200,
new-order,True,88.547,200,
new-order,True,86.123,200,
new-order,True,81.054,200,
new-order,True,56.061,200,
new-order,True,93.473,200,
new-order,True,72.034,200,
new-order,True,70.687,200,
new-order,True,70.481,200,
new-order,True,53.255,200,
new-order,True,88.396,200,
